OperationIndex,Latency
1,0.001314
2,0.001307
3,0.000774
4,0.000682
5,0.006126
6,0.001253
7,0.001213
8,0.000534
9,0.001732
10,0.000512
11,0.000501
12,0.001758
13,0.001694
14,0.001020
15,0.001568
16,0.001047
17,0.000495
18,0.001057
19,0.001539
20,0.001000
21,0.001037
22,0.001515
23,0.001693
24,0.001748
25,0.000576
26,0.000607
27,0.001004
28,0.000464
29,0.000515
30,0.000567
31,0.000582
32,0.000495
33,0.001598
34,0.001588
35,0.001634
36,0.001501
37,0.001055
38,0.000993
39,0.001683
40,0.001558
41,0.001958
42,0.000492
43,0.001819
44,0.001116
45,0.001336
46,0.000492
47,0.000477
48,0.001550
49,0.001745
50,0.001063
51,0.001009
52,0.001047
53,0.001552
54,0.000980
55,0.000500
56,0.001092
57,0.000501
58,0.000499
59,0.001011
60,0.000973
61,0.003105
62,0.000549
63,0.001162
64,0.000591
65,0.001591
66,0.001383
67,0.001123
68,0.000472
69,0.002398
70,0.001644
71,0.000995
72,0.000995
73,0.000504
74,0.001608
75,0.001016
76,0.001063
77,0.001053
78,0.000532
79,0.001503
80,0.001508
81,0.000490
82,0.000484
83,0.001457
84,0.001511
85,0.001599
86,0.001508
87,0.001006
88,0.001070
89,0.000488
90,0.000504
91,0.000968
92,0.001498
93,0.001542
94,0.001492
95,0.000493
96,0.000470
97,0.001020
98,0.001589
99,0.000607
100,0.000569
101,0.000605
102,0.000560
103,0.000611
104,0.002164
105,0.000490
106,0.001040
107,0.001526
108,0.001064
109,0.001054
110,0.000468
111,0.001559
112,0.001459
113,0.000501
114,0.000988
115,0.000469
116,0.001005
117,0.000488
118,0.000498
119,0.001056
120,0.000476
121,0.000679
122,0.001226
123,0.001833
124,0.001075
125,0.001428
126,0.001124
127,0.000551
128,0.000527
129,0.000523
130,0.000546
131,0.000502
132,0.006962
133,0.000517
134,0.001156
135,0.001552
136,0.000485
137,0.001742
138,0.001572
139,0.001017
140,0.000532
141,0.000508
142,0.000539
143,0.001767
144,0.000524
145,0.000534
146,0.000560
147,0.001048
148,0.000598
149,0.001135
150,0.000539
151,0.000731
152,0.000615
153,0.000578
154,0.000511
155,0.001090
156,0.001105
157,0.001645
158,0.000520
159,0.001933
160,0.000540
161,0.000494
162,0.000597
163,0.000600
164,0.000554
165,0.000557
166,0.000537
167,0.000826
168,0.001184
169,0.000650
170,0.001588
171,0.001601
172,0.001724
173,0.000560
174,0.002030
175,0.000559
176,0.000524
177,0.001125
178,0.001601
179,0.001047
180,0.001527
181,0.000526
182,0.000530
183,0.000984
184,0.000524
185,0.001055
186,0.002240
187,0.000491
188,0.001095
189,0.000532
190,0.001056
191,0.000530
192,0.000523
193,0.000731
194,0.000971
195,0.000535
196,0.001523
197,0.000545
198,0.000587
199,0.001579
200,0.000516
201,0.000555
202,0.001084
203,0.001567
204,0.001029
205,0.000543
206,0.000604
207,0.000515
208,0.000512
209,0.000485
210,0.000549
211,0.001594
212,0.000530
213,0.001011
214,0.000504
215,0.001074
216,0.000493
217,0.000477
218,0.001463
219,0.001122
220,0.001050
221,0.000487
222,0.001558
223,0.001125
224,0.000500
225,0.000478
226,0.000844
227,0.000483
228,0.001034
229,0.000488
230,0.001057
231,0.000468
232,0.001540
233,0.000540
234,0.001665
235,0.001584
236,0.001561
237,0.001034
238,0.001013
239,0.000477
240,0.000471
241,0.000492
242,0.001010
243,0.000933
244,0.001621
245,0.000465
246,0.000448
247,0.000518
248,0.000483
249,0.001006
250,0.001021
251,0.000474
252,0.002019
253,0.001847
254,0.000668
255,0.001811
256,0.001093
257,0.000508
258,0.000467
259,0.001027
260,0.000529
261,0.001610
262,0.001639
263,0.001559
264,0.001056
265,0.001101
266,0.001535
267,0.001192
268,0.001556
269,0.001045
270,0.001481
271,0.001103
272,0.000977
273,0.000957
274,0.001459
275,0.000503
276,0.000916
277,0.001097
278,0.000444
279,0.000523
280,0.000473
281,0.007081
282,0.000988
283,0.000460
284,0.000467
285,0.001514
286,0.000976
287,0.000965
288,0.000472
289,0.001002
290,0.000475
291,0.001490
292,0.001012
293,0.000444
294,0.000986
295,0.001191
296,0.001587
297,0.000484
298,0.000973
299,0.000473
300,0.001498
301,0.001009
302,0.000447
303,0.001443
304,0.000464
305,0.000462
306,0.000965
307,0.000942
308,0.000987
309,0.001295
310,0.000489
311,0.000496
312,0.000529
313,0.000645
314,0.000500
315,0.000472
316,0.001490
317,0.000495
318,0.001500
319,0.001314
320,0.001049
321,0.000519
322,0.000563
323,0.000501
324,0.000479
325,0.000516
326,0.000477
327,0.000455
328,0.000485
329,0.000514
330,0.000471
331,0.000507
332,0.000449
333,0.000510
334,0.000461
335,0.000526
336,0.000479
337,0.000716
338,0.000460
339,0.000462
340,0.000456
341,0.000990
342,0.001772
343,0.000871
344,0.000632
345,0.000699
346,0.002151
347,0.003420
348,0.001676
349,0.001605
350,0.001601
351,0.001047
352,0.001104
353,0.000543
354,0.001576
355,0.001083
356,0.000612
357,0.000587
358,0.001600
359,0.001065
360,0.000588
361,0.001620
362,0.001086
363,0.002222
364,0.000552
365,0.001810
366,0.000527
367,0.001603
368,0.000517
369,0.001649
370,0.001032
371,0.001020
372,0.001126
373,0.009255
374,0.001034
375,0.000524
376,0.001009
377,0.000538
378,0.001600
379,0.001179
380,0.000642
381,0.000574
382,0.000561
383,0.000570
384,0.000587
385,0.001834
386,0.001098
387,0.000518
388,0.001698
389,0.001547
390,0.000530
391,0.001706
392,0.001085
393,0.001670
394,0.000575
395,0.001709
396,0.001829
397,0.001129
398,0.001739
399,0.000566
400,0.001549
401,0.001581
402,0.001530
403,0.001007
404,0.001621
405,0.000512
406,0.009289
407,0.001742
408,0.001093
409,0.000549
410,0.000575
411,0.001550
412,0.001100
413,0.002005
414,0.001477
415,0.001051
416,0.001030
417,0.000506
418,0.001241
419,0.001764
420,0.001261
421,0.001821
422,0.000600
423,0.001704
424,0.000599
425,0.001192
426,0.001804
427,0.001776
428,0.000566
429,0.001139
430,0.001167
431,0.000566
432,0.000634
433,0.001174
434,0.001206
435,0.001780
436,0.000600
437,0.002108
438,0.001910
439,0.000596
440,0.002122
441,0.001567
442,0.001605
443,0.001014
444,0.001849
445,0.001092
446,0.001612
447,0.001605
448,0.000501
449,0.001608
450,0.001052
451,0.000512
452,0.001094
453,0.001674
454,0.000526
455,0.001564
456,0.001073
457,0.000524
458,0.001036
459,0.001013
460,0.000539
461,0.001541
462,0.001841
463,0.001846
464,0.001733
465,0.000598
466,0.001483
467,0.000595
468,0.002034
469,0.001666
470,0.000565
471,0.001132
472,0.001726
473,0.000550
474,0.000573
475,0.001156
476,0.001093
477,0.001608
478,0.002552
479,0.000519
480,0.000539
481,0.000912
482,0.001780
483,0.001071
484,0.001129
485,0.000541
486,0.000516
487,0.000521
488,0.000538
489,0.000516
490,0.001113
491,0.001092
492,0.001600
493,0.001651
494,0.001254
495,0.001035
496,0.001674
497,0.001088
498,0.000580
499,0.001085
500,0.000529
501,0.001140
502,0.000541
503,0.000547
504,0.001585
505,0.000522
506,0.000629
507,0.000501
508,0.000495
509,0.000528
510,0.001026
511,0.000525
512,0.000504
513,0.000623
514,0.000542
515,0.000533
516,0.000491
517,0.001001
518,0.001640
519,0.000555
520,0.001966
521,0.001603
522,0.000560
523,0.000477
524,0.001014
525,0.001098
526,0.000996
527,0.001070
528,0.001033
529,0.000490
530,0.000521
531,0.000507
532,0.001835
533,0.000534
534,0.001573
535,0.001608
536,0.001022
537,0.001102
538,0.000504
539,0.001631
540,0.000501
541,0.000553
542,0.000993
543,0.000528
